Date,Close,High,Low,Open,Volume
2015/09/28,161.0965881,161.8710085,159.2867902,161.1807567,1234110
2015/09/29,160.0780334,161.0881463,158.5039411,159.5561446,1840982
2015/09/30,160.1959076,161.1807687,160.0780613,160.128565,1163463
2015/10/08,166.2650146,169.68257,165.8272943,167.3256313,3439179
2015/10/09,165.7851868,167.4266217,165.4063961,167.3256143,1572174
2015/10/12,166.7448273,172.1321181,166.5428124,167.5108347,4903000
2015/10/13,167.2919769,168.4283492,166.7448233,166.7448233,1575113
2015/10/14,166.5259552,167.9316977,165.8357035,167.4939774,1521339
2015/10/15,168.344162,168.6640231,166.2986715,166.8037344,1655013
2015/10/16,168.9754791,170.3727957,167.855933,169.3795217,1923843
2015/10/19,170.6421814,172.5108961,169.9519296,172.5108961,2612145
2015/10/20,170.0108643,170.7768716,169.3458643,170.052955,1478429
2015/10/21,168.6135101,170.4990635,165.8356902,170.1034339,2234914
2015/10/22,170.4822235,170.6505735,167.8727536,168.5545923,2372030
2015/10/23,177.5951385,183.1676179,173.024372,173.2348128,5627734
2015/10/26,183.2770386,183.7568496,175.0866889,178.4537406,4334626
2015/10/27,181.1894684,183.2349461,178.9419629,182.7467349,2257279
2015/10/28,178.8241119,180.9706099,178.3695528,180.9706099,1655922
2015/10/29,179.2955017,180.8022517,178.4537388,178.4537388,1345435
2015/10/30,180.0193939,181.6524158,178.554722,179.2533867,1225791
2015/11/02,178.9251251,181.7029453,178.8746214,180.6423287,1529820
2015/11/03,176.5261078,181.6187632,175.4233876,179.2281596,2317329
2015/11/04,180.9621735,181.8207752,176.8627925,177.2584221,3080972
2015/11/05,182.29216,187.9488074,179.7163678,180.642312,4998258
2015/11/06,183.8578644,184.0093884,181.4504218,182.9571847,2169571
2015/11/09,185.8865204,189.1104741,184.3460926,186.8713815,4052729
2015/11/10,187.1912384,188.6558976,184.4807608,185.1878386,2872976
2015/11/11,185.3141174,187.7131471,184.0093951,186.8797971,2381550
2015/11/12,185.1962433,187.7131189,184.6659414,185.3814321,1618085
2015/11/13,181.0716095,184.7669479,180.8359169,183.5884851,2839718
2015/11/16,179.9520721,182.2416683,178.4537352,178.8746167,2391670
2015/11/17,180.4403381,183.0834737,179.4133861,180.7433734,2198635
2015/11/18,180.6928558,181.8208152,179.7921632,179.7921632,1972554
2015/11/19,181.004303,181.8208141,180.0531066,180.1372881,1526276
2015/11/20,179.9015808,181.6356105,179.3796919,181.0968827,2227423
2015/11/23,178.975647,180.0025989,178.8830525,179.295521,2099473
2015/11/24,178.1928101,179.5312101,176.7702285,178.7820416,2046902
2015/11/25,179.278656,179.2954949,177.1069062,178.2012005,2424981
2015/11/26,179.1607819,179.9604539,178.3106061,179.7079354,1880453
2015/11/27,174.8678589,178.9083112,173.9335014,178.8662333,1622072
2015/11/30,180.3981934,180.7938229,174.909896,175.1203367,3344003
2015/12/01,179.9689026,180.0951619,177.611964,179.2954897,1887754
2015/12/02,186.5178375,191.0801912,178.4537469,180.5413154,4789145
2015/12/03,185.3562012,186.3663142,182.4100308,184.3460882,2238683
2015/12/04,181.2399902,185.1541959,180.9874588,185.1541959,2084871
2015/12/07,180.5665588,182.6457143,179.4638515,180.9790273,1925509
2015/12/08,178.403244,180.6002459,177.9992014,180.6002459,1739368
2015/12/09,180.5328979,181.021122,178.032861,178.1002036,1411977
2015/12/10,179.2618713,181.9891755,178.4453601,180.9790624,1378671
2015/12/11,177.9571075,178.8746261,177.1911002,178.8746261,1303548
2015/12/14,180.2214508,180.8780249,175.9284547,176.9301546,2070134
2015/12/15,180.5665588,180.6339014,178.5210811,179.9689144,1508839
2015/12/16,180.0614929,180.6759762,178.9503598,180.4823743,2014480
2015/12/17,181.7029572,182.561559,180.1372775,180.4655645,2425321
2015/12/18,182.561554,184.4723466,181.0716299,181.399917,2846020
2015/12/21,191.1054382,192.9152234,183.50432,183.50432,5939189
2015/12/22,189.4219055,190.9118295,187.9488204,190.9118295,2840245
2015/12/23,187.7131348,190.8192421,187.4606033,189.7754514,2237497
2015/12/24,189.2114868,189.9690684,187.8814997,188.5380738,1557788
2015/12/25,188.975769,189.9522171,187.6121173,189.3966505,1154295
2015/12/28,184.4470825,190.2384154,184.3460751,189.8006951,2559452
2015/12/29,185.0447693,185.5582453,183.9336359,184.0262304,1577433
2015/12/30,184.2282257,185.7434015,183.1002665,185.339346,2014766
2015/12/31,183.6642456,184.7669529,183.3527974,183.6894975,1967387
2016/01/04,176.7870636,183.5043285,176.7618117,183.5043285,1734969
2016/01/05,179.1440277,180.1120501,174.6742549,176.7702496,3190891
2016/01/06,178.6052551,179.8510735,176.1809866,179.110318,2376090
2016/01/07,170.2297211,175.9200469,168.3778451,175.9200469,814868
2016/01/08,172.2499542,175.0866912,168.3525877,171.8627376,4451009
2016/01/11,168.2347565,171.5428789,167.8475398,171.012577,2970258
2016/01/12,165.6505127,170.1202844,164.9855257,169.2785215,4028723
2016/01/13,168.1673889,173.4031551,167.1741149,167.5949963,2920198
2016/01/14,172.4098969,173.3863321,164.5730728,165.9198987,3477606
2016/01/15,167.5108337,173.5546858,166.6690708,172.3509709,2668119
2016/01/18,167.8727722,170.3728091,165.9956445,166.6690574,2737123
2016/01/19,176.9722443,177.0479998,168.3610002,169.1943501,5911022
2016/01/20,170.305481,176.9048992,169.2027607,174.2449253,4096866
2016/01/21,168.5714417,172.2162767,168.2684065,169.4132046,2183229
2016/01/22,170.6590118,171.2145656,167.350877,170.97046,2273348
2016/01/25,170.6842651,171.2903354,169.6152227,170.877867,1375045
2016/01/26,167.5192566,172.1152884,167.0899621,169.1859566,2228092
2016/01/27,168.2936707,169.1017688,164.7330168,168.3357614,2984041
2016/01/28,165.5242615,168.1421447,164.6656597,168.1421447,1790300
2016/01/29,168.8997192,170.4569857,165.8272898,166.2313324,2309024
2016/02/01,169.438446,170.7095162,168.2599831,170.1202848,1917802
2016/02/02,172.1826324,172.3930732,168.8913359,170.0361341,1784208
2016/02/03,171.4334412,172.1910227,169.6152302,170.5243357,1515699
2016/02/04,172.5529938,173.3021623,171.3324272,172.3930568,1662475
2016/02/05,171.6101837,172.712891,170.4822246,172.5529668,1422767
2016/02/15,168.6977386,170.8779019,168.0159126,168.3526127,1947018
2016/02/16,171.4671021,175.0866851,168.823967,168.823967,1922316
2016/02/17,170.3138885,172.4940514,168.7818739,171.5007773,2034911
2016/02/18,169.7920074,171.3829389,169.2785315,171.046226,1889256
2016/02/19,170.970459,171.0293757,169.3037721,169.7162277,1423846
2016/02/22,174.918335,175.3560553,173.4031592,173.4031592,2775986
2016/02/23,178.7988586,180.9621826,174.2617572,174.8930793,3746089
2016/02/24,183.2854767,183.5295823,177.6204026,178.6221026,3312902
2016/02/25,178.7988586,185.5918785,178.5631661,184.177723,3948065
2016/02/26,182.5278625,184.5565142,177.8308241,179.3796776,2833271
2016/02/29,180.9032593,185.9285846,174.076562,184.3376533,4771246
2016/03/01,183.8578644,185.4403829,177.1069218,181.7871347,3400459
2016/03/02,188.740097,189.8175526,184.0683099,184.3460932,4794266
2016/03/03,191.7619934,195.272143,186.585157,189.3966418,4019328
2016/03/04,200.9961548,202.1577918,189.4050754,190.9791809,8583869
2016/03/07,196.6694641,202.0230761,194.4893015,200.4321449,3934555
